r_cm,E_Vcm,alpha_invcm,phi_w
0.0006,0,0,1.08517
0.00060985,0,0,1.08246
0.0006197,0,0,1.07978
0.00062955,0,0,1.07716
0.0006394,0,0,1.07457
0.00064925,0,0,1.07202
0.0006591,0,0,1.06951
0.00066895,0,0,1.06703
0.0006788,0,0,1.0646
0.00068865,0,0,1.06219
0.0006985,0,0,1.05983
0.00070835,0,0,1.05749
0.0007182,0,0,1.05519
0.00072805,0,0,1.05292
0.0007379,0,0,1.05068
0.00074775,0,0,1.04847
0.0007576,0,0,1.04628
0.00076745,0,0,1.04413
0.0007773,0,0,1.042
0.00078715,0,0,1.03991
0.000797,0,0,1.03783
0.00080685,0,0,1.03578
0.0008167,0,0,1.03376
0.00082655,0,0,1.03176
0.0008364,0,0,1.02979
0.00084625,0,0,1.02783
0.0008561,0,0,1.02591
0.00086595,0,0,1.024
0.0008758,0,0,1.02211
0.00088565,0,0,1.02025
0.0008955,0,0,1.0184
0.00090535,0,0,1.01658
0.0009152,0,0,1.01478
0.00092505,0,0,1.01299
0.0009349,0,0,1.01122
0.00094475,0,0,1.00948
0.0009546,0,0,1.00775
0.00096445,0,0,1.00604
0.0009743,0,0,1.00434
0.00098415,0,0,1.00266
0.000994,0,0,1.001
0.00100385,118550,2463.59,0.99936
0.0010137,117398,2444.9,0.997732
0.00102355,116269,2426.57,0.99612
0.0010334,115161,2408.59,0.994523
0.00104325,114074,2390.95,0.992941
0.0010531,113007,2373.64,0.991375
0.00106295,111960,2356.65,0.989822
0.0010728,110932,2339.97,0.988284
0.00108265,109923,2323.59,0.986761
0.0010925,108932,2307.51,0.98525
0.00110235,107959,2291.72,0.983754
0.0011122,107003,2276.21,0.982271
0.00112205,106064,2260.97,0.980801
0.0011319,105141,2246,0.979343
0.00114175,104234,2231.28,0.977899
0.0011516,103343,2216.81,0.976467
0.00116145,102467,2202.6,0.975047
0.0011713,101605,2188.62,0.973639
0.00118115,100758,2174.87,0.972242
0.001191,99924.8,2161.81,0.970858
0.00120085,99105.4,2153.32,0.969484
0.0012107,98299.3,2144.64,0.968122
0.00122055,97506.2,2135.8,0.966771
0.0012304,96725.8,2126.81,0.965431
0.00124025,95957.8,2117.67,0.964102
0.0012501,95201.9,2108.42,0.962783
0.00125995,94457.8,2099.05,0.961474
0.0012698,93725.3,2089.59,0.960176
0.00127965,93004,2080.04,0.958888
0.0012895,92293.8,2070.41,0.957609
0.00129935,91594.3,2060.71,0.95634
0.0013092,90905.4,2050.96,0.955081
0.00131905,90226.8,2041.16,0.953832
0.0013289,89558.2,2031.32,0.952591
0.00133875,88899.4,2021.45,0.95136
0.0013486,88250.3,2011.56,0.950138
0.00135845,87610.6,2001.65,0.948924
0.0013683,86980.1,1991.73,0.94772
0.00137815,86358.6,1981.8,0.946524
0.001388,85746,1971.87,0.945336
0.00139785,85142,1961.96,0.944157
0.0014077,84546.4,1952.05,0.942987
0.00141755,83959.1,1942.16,0.941824
0.0014274,83379.9,1932.29,0.94067
0.00143725,82808.7,1922.45,0.939523
0.0014471,82245.2,1912.64,0.938384
0.00145695,81689.4,1902.86,0.937253
0.0014668,81141,1893.11,0.93613
0.00147665,80600,1883.41,0.935014
0.0014865,80066.1,1873.74,0.933905
0.00149635,79539.2,1864.12,0.932804
0.0015062,79019.3,1854.55,0.93171
0.00151605,78506,1845.03,0.930624
0.0015259,77999.5,1835.56,0.929544
0.00153575,77499.4,1826.14,0.928471
0.0015456,77005.7,1816.77,0.927405
0.00155545,76518.2,1807.47,0.926346
0.0015653,76036.9,1798.22,0.925293
0.00157515,75561.6,1789.03,0.924248
0.001585,75092.2,1779.91,0.923208
0.00159485,74628.6,1770.84,0.922175
0.0016047,74170.8,1761.84,0.921149
0.00161455,73718.4,1752.9,0.920128
0.0016244,73271.6,1744.03,0.919114
0.00163425,72830.2,1735.22,0.918106
0.0016441,72394.1,1726.47,0.917105
0.00165395,71963.1,1717.8,0.916109
0.0016638,71537.3,1709.19,0.915119
0.00167365,71116.4,1700.65,0.914135
0.0016835,70700.5,1692.18,0.913156
0.00169335,70289.5,1683.77,0.912183
0.0017032,69883.2,1675.43,0.911216
0.00171305,69481.5,1667.28,0.910255
0.0017229,69084.5,1660.32,0.909299
0.00173275,68692,1653.35,0.908349
0.0017426,68303.9,1646.38,0.907404
0.00175245,67920.2,1639.41,0.906464
0.0017623,67540.7,1632.45,0.905529
0.00177215,67165.5,1625.49,0.9046
0.001782,66794.4,1618.55,0.903676
0.00179185,66427.5,1611.61,0.902757
0.0018017,66064.5,1604.69,0.901843
0.00181155,65705.5,1597.78,0.900934
0.0018214,65350.3,1590.89,0.90003
0.00183125,64999,1584.01,0.89913
0.0018411,64651.5,1577.16,0.898236
0.00185095,64307.6,1570.33,0.897346
0.0018608,63967.4,1563.52,0.896462
0.00187065,63630.8,1556.74,0.895581
0.0018805,63297.7,1549.98,0.894706
0.00189035,62968,1543.24,0.893835
0.0019002,62641.8,1536.54,0.892968
0.00191005,62319,1529.86,0.892106
