t_center_ns,dt_ns,count
0.1383090454,0.2763218314,397
0.4146308768,0.2763218314,458
0.6909527083,0.2763218314,490
0.9672745397,0.2763218314,474
1.243596371,0.2763218314,520
1.519918203,0.2763218314,554
1.796240034,0.2763218314,576
2.072561865,0.2763218314,586
2.348883697,0.2763218314,598
2.625205528,0.2763218314,579
2.90152736,0.2763218314,631
3.177849191,0.2763218314,670
3.454171023,0.2763218314,686
3.730492854,0.2763218314,694
4.006814685,0.2763218314,698
4.283136517,0.2763218314,752
4.559458348,0.2763218314,773
4.83578018,0.2763218314,786
5.112102011,0.2763218314,817
5.388423843,0.2763218314,849
5.664745674,0.2763218314,881
5.941067505,0.2763218314,917
6.217389337,0.2763218314,875
6.493711168,0.2763218314,891
6.770033,0.2763218314,884
7.046354831,0.2763218314,967
7.322676663,0.2763218314,943
7.598998494,0.2763218314,947
7.875320325,0.2763218314,1032
8.151642157,0.2763218314,1027
8.427963988,0.2763218314,999
8.70428582,0.2763218314,1067
8.980607651,0.2763218314,1118
9.256929483,0.2763218314,1057
9.533251314,0.2763218314,1083
9.809573145,0.2763218314,1085
10.08589498,0.2763218314,1108
10.36221681,0.2763218314,1140
10.63853864,0.2763218314,1147
10.91486047,0.2763218314,1192
11.1911823,0.2763218314,1242
11.46750413,0.2763218314,1210
11.74382597,0.2763218314,1225
12.0201478,0.2763218314,1295
12.29646963,0.2763218314,1230
12.57279146,0.2763218314,1249
12.84911329,0.2763218314,1246
13.12543512,0.2763218314,1248
13.40175695,0.2763218314,1224
13.67807879,0.2763218314,1265
13.95440062,0.2763218314,1221
14.23072245,0.2763218314,1280
14.50704428,0.2763218314,1229
14.78336611,0.2763218314,1227
15.05968794,0.2763218314,1210
15.33600977,0.2763218314,1251
15.61233161,0.2763218314,1185
15.88865344,0.2763218314,1255
16.16497527,0.2763218314,1193
16.4412971,0.2763218314,1241
16.71761893,0.2763218314,1131
16.99394076,0.2763218314,1179
17.27026259,0.2763218314,1251
17.54658443,0.2763218314,1202
17.82290626,0.2763218314,1153
18.09922809,0.2763218314,1155
18.37554992,0.2763218314,1188
18.65187175,0.2763218314,1067
18.92819358,0.2763218314,1130
19.20451541,0.2763218314,1144
19.48083725,0.2763218314,1154
19.75715908,0.2763218314,1112
20.03348091,0.2763218314,1148
20.30980274,0.2763218314,1139
20.58612457,0.2763218314,1185
20.8624464,0.2763218314,1120
21.13876823,0.2763218314,1152
21.41509007,0.2763218314,1142
21.6914119,0.2763218314,1142
21.96773373,0.2763218314,1070
22.24405556,0.2763218314,1132
22.52037739,0.2763218314,1156
22.79669922,0.2763218314,1086
23.07302105,0.2763218314,1128
23.34934289,0.2763218314,1061
23.62566472,0.2763218314,1093
23.90198655,0.2763218314,1073
24.17830838,0.2763218314,1086
24.45463021,0.2763218314,1091
24.73095204,0.2763218314,1170
25.00727387,0.2763218314,1059
25.28359571,0.2763218314,1124
25.55991754,0.2763218314,1079
25.83623937,0.2763218314,1145
26.1125612,0.2763218314,1077
26.38888303,0.2763218314,1004
26.66520486,0.2763218314,1082
26.94152669,0.2763218314,1053
27.21784853,0.2763218314,1026
27.49417036,0.2763218314,1081
27.77049219,0.2763218314,1102
28.04681402,0.2763218314,1091
28.32313585,0.2763218314,1057
28.59945768,0.2763218314,1083
28.87577951,0.2763218314,1080
29.15210135,0.2763218314,1087
29.42842318,0.2763218314,1081
29.70474501,0.2763218314,1108
29.98106684,0.2763218314,1023
30.25738867,0.2763218314,1111
30.5337105,0.2763218314,1068
30.81003233,0.2763218314,1041
31.08635417,0.2763218314,1060
31.362676,0.2763218314,1041
31.63899783,0.2763218314,1083
31.91531966,0.2763218314,1084
32.19164149,0.2763218314,1038
32.46796332,0.2763218314,1078
32.74428515,0.2763218314,1117
33.02060699,0.2763218314,1051
33.29692882,0.2763218314,1049
33.57325065,0.2763218314,1071
33.84957248,0.2763218314,1083
34.12589431,0.2763218314,1122
34.40221614,0.2763218314,1060
34.67853797,0.2763218314,1073
34.95485981,0.2763218314,1070
35.23118164,0.2763218314,1072
35.50750347,0.2763218314,1084
35.7838253,0.2763218314,1061
36.06014713,0.2763218314,1061
36.33646896,0.2763218314,1109
36.61279079,0.2763218314,1022
36.88911263,0.2763218314,1038
37.16543446,0.2763218314,1072
37.44175629,0.2763218314,1091
37.71807812,0.2763218314,1055
37.99439995,0.2763218314,1065
38.27072178,0.2763218314,1077
38.54704361,0.2763218314,1048
38.82336545,0.2763218314,1102
39.09968728,0.2763218314,1113
39.37600911,0.2763218314,1108
39.65233094,0.2763218314,1066
39.92865277,0.2763218314,1084
40.2049746,0.2763218314,1069
40.48129643,0.2763218314,1028
40.75761827,0.2763218314,1080
41.0339401,0.2763218314,1088
