r_cm,E_Vcm,alpha_invcm,phi_w
0.0006,0,0,1.0857
0.00060985,0,0,1.08296
0.0006197,0,0,1.08028
0.00062955,0,0,1.07763
0.0006394,0,0,1.07503
0.00064925,0,0,1.07246
0.0006591,0,0,1.06994
0.00066895,0,0,1.06745
0.0006788,0,0,1.065
0.00068865,0,0,1.06258
0.0006985,0,0,1.0602
0.00070835,0,0,1.05785
0.0007182,0,0,1.05553
0.00072805,0,0,1.05324
0.0007379,0,0,1.05099
0.00074775,0,0,1.04877
0.0007576,0,0,1.04657
0.00076745,0,0,1.0444
0.0007773,0,0,1.04226
0.00078715,0,0,1.04015
0.000797,0,0,1.03807
0.00080685,0,0,1.036
0.0008167,0,0,1.03397
0.00082655,0,0,1.03196
0.0008364,0,0,1.02997
0.00084625,0,0,1.02801
0.0008561,0,0,1.02607
0.00086595,0,0,1.02415
0.0008758,0,0,1.02225
0.00088565,0,0,1.02037
0.0008955,0,0,1.01852
0.00090535,0,0,1.01668
0.0009152,0,0,1.01487
0.00092505,0,0,1.01307
0.0009349,0,0,1.01129
0.00094475,0,0,1.00954
0.0009546,0,0,1.0078
0.00096445,0,0,1.00607
0.0009743,0,0,1.00437
0.00098415,0,0,1.00268
0.000994,0,0,1.00101
0.00100385,131831,2679.11,0.999356
0.0010137,130550,2658.32,0.997718
0.00102355,129294,2637.94,0.996096
0.0010334,128062,2617.94,0.994489
0.00104325,126853,2598.33,0.992898
0.0010531,125667,2579.08,0.991321
0.00106295,124502,2560.18,0.989759
0.0010728,123359,2541.64,0.988212
0.00108265,122237,2523.43,0.986679
0.0010925,121135,2505.55,0.985159
0.00110235,120053,2487.98,0.983654
0.0011122,118990,2470.73,0.982161
0.00112205,117946,2453.79,0.980682
0.0011319,116920,2437.13,0.979216
0.00114175,115911,2420.77,0.977762
0.0011516,114920,2404.69,0.976321
0.00116145,113946,2388.87,0.974893
0.0011713,112988,2373.33,0.973476
0.00118115,112046,2358.04,0.972071
0.001191,111119,2343.01,0.970678
0.00120085,110208,2328.22,0.969296
0.0012107,109312,2313.67,0.967926
0.00122055,108430,2299.36,0.966566
0.0012304,107562,2285.28,0.965218
