x_center_cm,bin_width_cm,count
-0.198,0.004,0
-0.194,0.004,0
-0.19,0.004,0
-0.186,0.004,0
-0.182,0.004,0
-0.178,0.004,0
-0.174,0.004,0
-0.17,0.004,0
-0.166,0.004,0
-0.162,0.004,1
-0.158,0.004,0
-0.154,0.004,1
-0.15,0.004,0
-0.146,0.004,2
-0.142,0.004,0
-0.138,0.004,1
-0.134,0.004,0
-0.13,0.004,0
-0.126,0.004,1
-0.122,0.004,0
-0.118,0.004,2
-0.114,0.004,0
-0.11,0.004,1
-0.106,0.004,0
-0.102,0.004,1
-0.098,0.004,0
-0.094,0.004,0
-0.09,0.004,0
-0.086,0.004,1
-0.082,0.004,2
-0.078,0.004,0
-0.074,0.004,2
-0.07,0.004,0
-0.066,0.004,1
-0.062,0.004,0
-0.058,0.004,1
-0.054,0.004,3
-0.05,0.004,1
-0.046,0.004,0
-0.042,0.004,0
-0.038,0.004,1
-0.034,0.004,0
-0.03,0.004,2
-0.026,0.004,3
-0.022,0.004,1
-0.018,0.004,0
-0.014,0.004,3
-0.01,0.004,2
-0.006,0.004,1
-0.002,0.004,5
0.002,0.004,1
0.006,0.004,1
0.01,0.004,2
0.014,0.004,4
0.018,0.004,3
0.022,0.004,1
0.026,0.004,2
0.03,0.004,2
0.034,0.004,4
0.038,0.004,1
0.042,0.004,2
0.046,0.004,2
0.05,0.004,0
0.054,0.004,1
0.058,0.004,2
0.062,0.004,1
0.066,0.004,1
0.07,0.004,0
0.074,0.004,1
0.078,0.004,2
0.082,0.004,4
0.086,0.004,0
0.09,0.004,4
0.094,0.004,4
0.098,0.004,0
0.102,0.004,2
0.106,0.004,0
0.11,0.004,1
0.114,0.004,0
0.118,0.004,1
0.122,0.004,2
0.126,0.004,0
0.13,0.004,3
0.134,0.004,1
0.138,0.004,1
0.142,0.004,0
0.146,0.004,1
0.15,0.004,0
0.154,0.004,0
0.158,0.004,0
0.162,0.004,0
0.166,0.004,0
0.17,0.004,0
0.174,0.004,0
0.178,0.004,0
0.182,0.004,0
0.186,0.004,0
0.19,0.004,1
0.194,0.004,0
0.198,0.004,0
