t_center_ns,dt_ns,count
0.1784252712,0.3566151551,1659
0.5350404263,0.3566151551,1907
0.8916555814,0.3566151551,1930
1.248270737,0.3566151551,1979
1.604885892,0.3566151551,2007
1.961501047,0.3566151551,2133
2.318116202,0.3566151551,2134
2.674731357,0.3566151551,2243
3.031346512,0.3566151551,2397
3.387961667,0.3566151551,2605
3.744576823,0.3566151551,2640
4.101191978,0.3566151551,2746
4.457807133,0.3566151551,2805
4.814422288,0.3566151551,2858
5.171037443,0.3566151551,3113
5.527652598,0.3566151551,3247
5.884267753,0.3566151551,3153
6.240882908,0.3566151551,3331
6.597498064,0.3566151551,3481
6.954113219,0.3566151551,3676
7.310728374,0.3566151551,3697
7.667343529,0.3566151551,3784
8.023958684,0.3566151551,3757
8.380573839,0.3566151551,3906
8.737188994,0.3566151551,4095
9.09380415,0.3566151551,4052
9.450419305,0.3566151551,4269
9.80703446,0.3566151551,4247
10.16364961,0.3566151551,4253
10.52026477,0.3566151551,4444
10.87687993,0.3566151551,4525
11.23349508,0.3566151551,4479
11.59011024,0.3566151551,4578
11.94672539,0.3566151551,4593
12.30334055,0.3566151551,4855
12.6599557,0.3566151551,4712
13.01657086,0.3566151551,4846
13.37318601,0.3566151551,4818
13.72980117,0.3566151551,4797
14.08641632,0.3566151551,4765
14.44303148,0.3566151551,4920
14.79964663,0.3566151551,4913
15.15626179,0.3566151551,4823
15.51287694,0.3566151551,4702
15.8694921,0.3566151551,4706
16.22610725,0.3566151551,4769
16.58272241,0.3566151551,4656
16.93933756,0.3566151551,4636
17.29595272,0.3566151551,4510
17.65256787,0.3566151551,4605
18.00918303,0.3566151551,4593
18.36579818,0.3566151551,4558
18.72241334,0.3566151551,4419
19.07902849,0.3566151551,4493
19.43564365,0.3566151551,4613
19.7922588,0.3566151551,4403
20.14887396,0.3566151551,4407
20.50548911,0.3566151551,4431
20.86210427,0.3566151551,4210
21.21871942,0.3566151551,4351
21.57533458,0.3566151551,4376
21.93194973,0.3566151551,4320
22.28856489,0.3566151551,4235
22.64518004,0.3566151551,4354
23.0017952,0.3566151551,4190
23.35841036,0.3566151551,4195
23.71502551,0.3566151551,4245
24.07164067,0.3566151551,4168
24.42825582,0.3566151551,4375
24.78487098,0.3566151551,4242
25.14148613,0.3566151551,4102
25.49810129,0.3566151551,4150
25.85471644,0.3566151551,4304
26.2113316,0.3566151551,4279
26.56794675,0.3566151551,4139
26.92456191,0.3566151551,4217
27.28117706,0.3566151551,4144
27.63779222,0.3566151551,4162
27.99440737,0.3566151551,4097
28.35102253,0.3566151551,4205
28.70763768,0.3566151551,4128
29.06425284,0.3566151551,4115
29.42086799,0.3566151551,4102
29.77748315,0.3566151551,4137
30.1340983,0.3566151551,4162
30.49071346,0.3566151551,4088
30.84732861,0.3566151551,4135
31.20394377,0.3566151551,4098
31.56055892,0.3566151551,4170
31.91717408,0.3566151551,4205
32.27378923,0.3566151551,4265
32.63040439,0.3566151551,4062
32.98701954,0.3566151551,4100
33.3436347,0.3566151551,4006
33.70024985,0.3566151551,4079
34.05686501,0.3566151551,4032
34.41348016,0.3566151551,4061
34.77009532,0.3566151551,4013
35.12671047,0.3566151551,4096
35.48332563,0.3566151551,3992
35.83994078,0.3566151551,4096
36.19655594,0.3566151551,3984
36.5531711,0.3566151551,4176
36.90978625,0.3566151551,4019
37.26640141,0.3566151551,4049
37.62301656,0.3566151551,4048
37.97963172,0.3566151551,4077
38.33624687,0.3566151551,4151
38.69286203,0.3566151551,4095
39.04947718,0.3566151551,4105
39.40609234,0.3566151551,4162
39.76270749,0.3566151551,4074
40.11932265,0.3566151551,4031
40.4759378,0.3566151551,4020
40.83255296,0.3566151551,4059
41.18916811,0.3566151551,4008
41.54578327,0.3566151551,3882
41.90239842,0.3566151551,3973
42.25901358,0.3566151551,4115
42.61562873,0.3566151551,4015
42.97224389,0.3566151551,4089
43.32885904,0.3566151551,3990
43.6854742,0.3566151551,4032
44.04208935,0.3566151551,4030
44.39870451,0.3566151551,4112
44.75531966,0.3566151551,4122
45.11193482,0.3566151551,4129
45.46854997,0.3566151551,4154
45.82516513,0.3566151551,4015
46.18178028,0.3566151551,4102
46.53839544,0.3566151551,4129
46.89501059,0.3566151551,4032
47.25162575,0.3566151551,3997
47.6082409,0.3566151551,4024
47.96485606,0.3566151551,4115
48.32147121,0.3566151551,4093
48.67808637,0.3566151551,4011
49.03470152,0.3566151551,4109
49.39131668,0.3566151551,4001
49.74793184,0.3566151551,4072
50.10454699,0.3566151551,4034
50.46116215,0.3566151551,4105
50.8177773,0.3566151551,4053
51.17439246,0.3566151551,4000
51.53100761,0.3566151551,3997
51.88762277,0.3566151551,4015
52.24423792,0.3566151551,4153
52.60085308,0.3566151551,4134
52.95746823,0.3566151551,3953
53.31408339,0.3566151551,4074
53.67069854,0.3566151551,4148
54.0273137,0.3566151551,4238
54.38392885,0.3566151551,4040
54.74054401,0.3566151551,4026
55.09715916,0.3566151551,3995
55.45377432,0.3566151551,3955
55.81038947,0.3566151551,3980
56.16700463,0.3566151551,4025
56.52361978,0.3566151551,4055
56.88023494,0.3566151551,3955
57.23685009,0.3566151551,3936
57.59346525,0.3566151551,3932
57.9500804,0.3566151551,4000
58.30669556,0.3566151551,3995
58.66331071,0.3566151551,4053
59.01992587,0.3566151551,4016
59.37654102,0.3566151551,4038
59.73315618,0.3566151551,3897
60.08977133,0.3566151551,3979
60.44638649,0.3566151551,4023
60.80300164,0.3566151551,4005
61.1596168,0.3566151551,4017
61.51623195,0.3566151551,4033
61.87284711,0.3566151551,4191
62.22946226,0.3566151551,3990
62.58607742,0.3566151551,4091
62.94269258,0.3566151551,3964
63.29930773,0.3566151551,4058
63.65592289,0.3566151551,3969
64.01253804,0.3566151551,4079
64.3691532,0.3566151551,4041
64.72576835,0.3566151551,4038
65.08238351,0.3566151551,4115
65.43899866,0.3566151551,4009
65.79561382,0.3566151551,3996
66.15222897,0.3566151551,3960
66.50884413,0.3566151551,3996
66.86545928,0.3566151551,4082
67.22207444,0.3566151551,4056
67.57868959,0.3566151551,4054
67.93530475,0.3566151551,4008
68.2919199,0.3566151551,3978
68.64853506,0.3566151551,3896
69.00515021,0.3566151551,4051
69.36176537,0.3566151551,3788
69.71838052,0.3566151551,3923
70.07499568,0.3566151551,4043
70.43161083,0.3566151551,4055
70.78822599,0.3566151551,4045
71.14484114,0.3566151551,3929
71.5014563,0.3566151551,3978
71.85807145,0.3566151551,3826
72.21468661,0.3566151551,4011
72.57130176,0.3566151551,3929
72.92791692,0.3566151551,3903
73.28453207,0.3566151551,4020
73.64114723,0.3566151551,3829
73.99776238,0.3566151551,3853
74.35437754,0.3566151551,3948
74.71099269,0.3566151551,3774
75.06760785,0.3566151551,3894
75.424223,0.3566151551,3893
75.78083816,0.3566151551,3865
76.13745332,0.3566151551,3968
76.49406847,0.3566151551,3847
76.85068363,0.3566151551,3778
77.20729878,0.3566151551,3780
77.56391394,0.3566151551,3704
77.92052909,0.3566151551,3767
78.27714425,0.3566151551,3688
78.6337594,0.3566151551,3626
78.99037456,0.3566151551,3547
79.34698971,0.3566151551,3549
79.70360487,0.3566151551,3573
80.06022002,0.3566151551,3584
80.41683518,0.3566151551,3395
80.77345033,0.3566151551,3444
81.13006549,0.3566151551,3368
81.48668064,0.3566151551,3297
81.8432958,0.3566151551,3257
82.19991095,0.3566151551,3233
82.55652611,0.3566151551,3156
82.91314126,0.3566151551,3162
83.26975642,0.3566151551,3009
83.62637157,0.3566151551,2830
83.98298673,0.3566151551,2900
84.33960188,0.3566151551,2832
84.69621704,0.3566151551,2737
85.05283219,0.3566151551,2655
85.40944735,0.3566151551,2624
85.7660625,0.3566151551,2554
86.12267766,0.3566151551,2386
86.47929281,0.3566151551,2343
86.83590797,0.3566151551,2228
87.19252312,0.3566151551,2218
87.54913828,0.3566151551,2087
87.90575343,0.3566151551,2040
88.26236859,0.3566151551,1946
88.61898374,0.3566151551,1912
88.9755989,0.3566151551,1760
89.33221406,0.3566151551,1686
89.68882921,0.3566151551,1647
90.04544437,0.3566151551,1662
90.40205952,0.3566151551,1547
90.75867468,0.3566151551,1549
91.11528983,0.3566151551,1412
91.47190499,0.3566151551,1294
91.82852014,0.3566151551,1358
92.1851353,0.3566151551,1294
92.54175045,0.3566151551,1171
92.89836561,0.3566151551,1089
93.25498076,0.3566151551,1078
