r_cm,E_Vcm,alpha_invcm,phi_w
0.0006,0,0,1.08429
0.00060985,0,0,1.0816
0.0006197,0,0,1.07896
0.00062955,0,0,1.07635
0.0006394,0,0,1.07379
0.00064925,0,0,1.07127
0.0006591,0,0,1.06879
0.00066895,0,0,1.06634
0.0006788,0,0,1.06393
0.00068865,0,0,1.06155
0.0006985,0,0,1.05921
0.00070835,0,0,1.0569
0.0007182,0,0,1.05462
0.00072805,0,0,1.05237
0.0007379,0,0,1.05015
0.00074775,0,0,1.04796
0.0007576,0,0,1.0458
0.00076745,0,0,1.04367
0.0007773,0,0,1.04157
0.00078715,0,0,1.03949
0.000797,0,0,1.03744
0.00080685,0,0,1.03541
0.0008167,0,0,1.03341
0.00082655,0,0,1.03143
0.0008364,0,0,1.02948
0.00084625,0,0,1.02755
0.0008561,0,0,1.02564
0.00086595,0,0,1.02375
0.0008758,0,0,1.02188
0.00088565,0,0,1.02004
0.0008955,0,0,1.01821
0.00090535,0,0,1.01641
0.0009152,0,0,1.01462
0.00092505,0,0,1.01286
0.0009349,0,0,1.01111
0.00094475,0,0,1.00938
0.0009546,0,0,1.00767
0.00096445,0,0,1.00597
0.0009743,0,0,1.0043
0.00098415,0,0,1.00264
0.000994,0,0,1.00099
0.00100385,118728,2466.48,0.999367
0.0010137,117575,2447.76,0.997756
0.00102355,116443,2429.41,0.99616
0.0010334,115334,2411.4,0.99458
0.00104325,114245,2393.73,0.993015
0.0010531,113177,2376.39,0.991464
0.00106295,112128,2359.38,0.989928
0.0010728,111099,2342.67,0.988406
0.00108265,110088,2326.27,0.986898
0.0010925,109096,2310.17,0.985403
0.00110235,108121,2294.35,0.983923
0.0011122,107164,2278.82,0.982455
0.00112205,106223,2263.56,0.981
0.0011319,105299,2248.56,0.979558
0.00114175,104391,2233.82,0.978128
0.0011516,103498,2219.33,0.976711
0.00116145,102620,2205.09,0.975305
0.0011713,101758,2191.09,0.973912
0.00118115,100909,2177.32,0.97253
0.001191,100075,2163.79,0.97116
0.00120085,99254.3,2154.88,0.969801
0.0012107,98446.9,2146.25,0.968453
0.00122055,97652.7,2137.45,0.967116
0.0012304,96871.1,2128.5,0.96579
0.00124025,96101.9,2119.41,0.964474
0.0012501,95344.9,2110.19,0.963169
0.00125995,94599.7,2100.86,0.961874
0.0012698,93866.1,2091.43,0.960589
0.00127965,93143.7,2081.91,0.959314
0.0012895,92432.4,2072.31,0.958049
0.00129935,91731.9,2062.64,0.956794
0.0013092,91042,2052.91,0.955547
0.00131905,90362.3,2043.14,0.954311
0.0013289,89692.7,2033.32,0.953083
0.00133875,89033,2023.47,0.951865
0.0013486,88382.9,2013.59,0.950655
0.00135845,87742.2,2003.7,0.949454
0.0013683,87110.8,1993.79,0.948262
0.00137815,86488.4,1983.88,0.947079
0.001388,85874.8,1973.97,0.945904
0.00139785,85269.9,1964.07,0.944737
0.0014077,84673.4,1954.17,0.943578
0.00141755,84085.2,1944.3,0.942428
0.0014274,83505.2,1934.44,0.941285
0.00143725,82933.1,1924.6,0.940151
0.0014471,82368.8,1914.8,0.939024
0.00145695,81812.1,1905.02,0.937904
0.0014668,81262.9,1895.29,0.936793
0.00147665,80721,1885.58,0.935688
