t_center_ns,dt_ns,count
0.1407125388,0.2807554226,1544
0.4214679614,0.2807554226,1711
0.702223384,0.2807554226,1725
0.9829788066,0.2807554226,1762
1.263734229,0.2807554226,1835
1.544489652,0.2807554226,1865
1.825245074,0.2807554226,1957
2.106000497,0.2807554226,1918
2.386755919,0.2807554226,2042
2.667511342,0.2807554226,2086
2.948266765,0.2807554226,2020
3.229022187,0.2807554226,2193
3.50977761,0.2807554226,2263
3.790533032,0.2807554226,2326
4.071288455,0.2807554226,2271
4.352043878,0.2807554226,2329
4.6327993,0.2807554226,2458
4.913554723,0.2807554226,2521
5.194310145,0.2807554226,2611
5.475065568,0.2807554226,2551
5.75582099,0.2807554226,2758
6.036576413,0.2807554226,2759
6.317331836,0.2807554226,2911
6.598087258,0.2807554226,2844
6.878842681,0.2807554226,2984
7.159598103,0.2807554226,2987
7.440353526,0.2807554226,3114
7.721108948,0.2807554226,3164
8.001864371,0.2807554226,3150
8.282619794,0.2807554226,3310
8.563375216,0.2807554226,3325
8.844130639,0.2807554226,3380
9.124886061,0.2807554226,3381
9.405641484,0.2807554226,3477
9.686396907,0.2807554226,3431
9.967152329,0.2807554226,3585
10.24790775,0.2807554226,3552
10.52866317,0.2807554226,3726
10.8094186,0.2807554226,3609
11.09017402,0.2807554226,3691
11.37092944,0.2807554226,3718
11.65168486,0.2807554226,3713
11.93244029,0.2807554226,3760
12.21319571,0.2807554226,3769
12.49395113,0.2807554226,3852
12.77470655,0.2807554226,3885
13.05546198,0.2807554226,3825
13.3362174,0.2807554226,3823
13.61697282,0.2807554226,3878
13.89772825,0.2807554226,3931
14.17848367,0.2807554226,3890
14.45923909,0.2807554226,3895
14.73999451,0.2807554226,3803
15.02074994,0.2807554226,3802
15.30150536,0.2807554226,3853
15.58226078,0.2807554226,3840
15.8630162,0.2807554226,3717
16.14377163,0.2807554226,3730
16.42452705,0.2807554226,3770
16.70528247,0.2807554226,3715
16.98603789,0.2807554226,3729
17.26679332,0.2807554226,3678
17.54754874,0.2807554226,3840
17.82830416,0.2807554226,3571
18.10905958,0.2807554226,3538
18.38981501,0.2807554226,3596
18.67057043,0.2807554226,3608
18.95132585,0.2807554226,3452
19.23208127,0.2807554226,3501
19.5128367,0.2807554226,3539
19.79359212,0.2807554226,3505
20.07434754,0.2807554226,3472
20.35510296,0.2807554226,3360
20.63585839,0.2807554226,3468
20.91661381,0.2807554226,3480
21.19736923,0.2807554226,3506
21.47812465,0.2807554226,3454
21.75888008,0.2807554226,3513
22.0396355,0.2807554226,3458
22.32039092,0.2807554226,3537
22.60114635,0.2807554226,3434
22.88190177,0.2807554226,3288
23.16265719,0.2807554226,3354
23.44341261,0.2807554226,3384
23.72416804,0.2807554226,3310
24.00492346,0.2807554226,3298
24.28567888,0.2807554226,3449
24.5664343,0.2807554226,3403
24.84718973,0.2807554226,3427
25.12794515,0.2807554226,3453
25.40870057,0.2807554226,3309
25.68945599,0.2807554226,3381
25.97021142,0.2807554226,3420
26.25096684,0.2807554226,3332
26.53172226,0.2807554226,3337
26.81247768,0.2807554226,3277
27.09323311,0.2807554226,3320
27.37398853,0.2807554226,3404
27.65474395,0.2807554226,3366
27.93549937,0.2807554226,3363
28.2162548,0.2807554226,3299
28.49701022,0.2807554226,3264
28.77776564,0.2807554226,3348
29.05852106,0.2807554226,3313
29.33927649,0.2807554226,3238
29.62003191,0.2807554226,3347
29.90078733,0.2807554226,3242
30.18154275,0.2807554226,3300
30.46229818,0.2807554226,3253
30.7430536,0.2807554226,3366
31.02380902,0.2807554226,3280
31.30456445,0.2807554226,3232
31.58531987,0.2807554226,3353
31.86607529,0.2807554226,3243
32.14683071,0.2807554226,3307
32.42758614,0.2807554226,3216
32.70834156,0.2807554226,3186
32.98909698,0.2807554226,3279
33.2698524,0.2807554226,3239
33.55060783,0.2807554226,3231
33.83136325,0.2807554226,3302
34.11211867,0.2807554226,3254
34.39287409,0.2807554226,3276
34.67362952,0.2807554226,3128
34.95438494,0.2807554226,3347
35.23514036,0.2807554226,3274
35.51589578,0.2807554226,3241
35.79665121,0.2807554226,3297
36.07740663,0.2807554226,3169
36.35816205,0.2807554226,3123
36.63891747,0.2807554226,3236
36.9196729,0.2807554226,3249
37.20042832,0.2807554226,3181
37.48118374,0.2807554226,3211
37.76193916,0.2807554226,3163
38.04269459,0.2807554226,3219
38.32345001,0.2807554226,3288
38.60420543,0.2807554226,3198
38.88496085,0.2807554226,3295
39.16571628,0.2807554226,3256
39.4464717,0.2807554226,3197
39.72722712,0.2807554226,3243
40.00798255,0.2807554226,3323
40.28873797,0.2807554226,3253
40.56949339,0.2807554226,3217
40.85024881,0.2807554226,3223
41.13100424,0.2807554226,3278
41.41175966,0.2807554226,3283
41.69251508,0.2807554226,3210
41.9732705,0.2807554226,3258
42.25402593,0.2807554226,3215
42.53478135,0.2807554226,3308
42.81553677,0.2807554226,3204
43.09629219,0.2807554226,3215
43.37704762,0.2807554226,3204
43.65780304,0.2807554226,3252
43.93855846,0.2807554226,3197
44.21931388,0.2807554226,3240
44.50006931,0.2807554226,3292
44.78082473,0.2807554226,3186
45.06158015,0.2807554226,3160
45.34233557,0.2807554226,3239
45.623091,0.2807554226,3309
45.90384642,0.2807554226,3188
46.18460184,0.2807554226,3216
46.46535726,0.2807554226,3171
46.74611269,0.2807554226,3219
47.02686811,0.2807554226,3313
47.30762353,0.2807554226,3198
47.58837895,0.2807554226,3222
47.86913438,0.2807554226,3156
48.1498898,0.2807554226,3315
48.43064522,0.2807554226,3303
48.71140064,0.2807554226,3246
48.99215607,0.2807554226,3253
49.27291149,0.2807554226,3242
49.55366691,0.2807554226,3193
49.83442234,0.2807554226,3327
50.11517776,0.2807554226,3237
50.39593318,0.2807554226,3302
50.6766886,0.2807554226,3245
50.95744403,0.2807554226,3112
51.23819945,0.2807554226,3180
51.51895487,0.2807554226,3316
51.79971029,0.2807554226,3175
52.08046572,0.2807554226,3266
52.36122114,0.2807554226,3309
52.64197656,0.2807554226,3183
52.92273198,0.2807554226,3129
53.20348741,0.2807554226,3146
53.48424283,0.2807554226,3246
53.76499825,0.2807554226,3248
54.04575367,0.2807554226,3168
54.3265091,0.2807554226,3240
54.60726452,0.2807554226,3191
54.88801994,0.2807554226,3250
55.16877536,0.2807554226,3263
55.44953079,0.2807554226,3316
55.73028621,0.2807554226,3246
56.01104163,0.2807554226,3319
56.29179705,0.2807554226,3227
56.57255248,0.2807554226,3195
56.8533079,0.2807554226,3165
57.13406332,0.2807554226,3235
57.41481874,0.2807554226,3231
57.69557417,0.2807554226,3243
57.97632959,0.2807554226,3271
58.25708501,0.2807554226,3330
58.53784044,0.2807554226,3270
58.81859586,0.2807554226,3193
59.09935128,0.2807554226,3172
59.3801067,0.2807554226,3237
59.66086213,0.2807554226,3275
59.94161755,0.2807554226,3306
60.22237297,0.2807554226,3203
60.50312839,0.2807554226,3363
60.78388382,0.2807554226,3226
61.06463924,0.2807554226,3124
61.34539466,0.2807554226,3259
61.62615008,0.2807554226,3195
61.90690551,0.2807554226,3188
