r_cm,E_Vcm,alpha_invcm,phi_w
0.0006,0,0,1.08495
0.00060985,0,0,1.08224
0.0006197,0,0,1.07958
0.00062955,0,0,1.07695
0.0006394,0,0,1.07437
0.00064925,0,0,1.07183
0.0006591,0,0,1.06933
0.00066895,0,0,1.06686
0.0006788,0,0,1.06443
0.00068865,0,0,1.06203
0.0006985,0,0,1.05967
0.00070835,0,0,1.05734
0.0007182,0,0,1.05505
0.00072805,0,0,1.05278
0.0007379,0,0,1.05055
0.00074775,0,0,1.04834
0.0007576,0,0,1.04616
0.00076745,0,0,1.04402
0.0007773,0,0,1.0419
0.00078715,0,0,1.0398
0.000797,0,0,1.03773
0.00080685,0,0,1.03569
0.0008167,0,0,1.03367
0.00082655,0,0,1.03168
0.0008364,0,0,1.02971
0.00084625,0,0,1.02776
0.0008561,0,0,1.02584
0.00086595,0,0,1.02394
0.0008758,0,0,1.02205
0.00088565,0,0,1.02019
0.0008955,0,0,1.01836
0.00090535,0,0,1.01654
0.0009152,0,0,1.01474
0.00092505,0,0,1.01296
0.0009349,0,0,1.01119
0.00094475,0,0,1.00945
0.0009546,0,0,1.00773
0.00096445,0,0,1.00602
0.0009743,0,0,1.00433
0.00098415,0,0,1.00266
0.000994,0,0,1.001
0.00100385,132077,2683.1,0.999362
0.0010137,130793,2662.27,0.997738
0.00102355,129535,2641.85,0.99613
0.0010334,128301,2621.82,0.994537
0.00104325,127089,2602.16,0.99296
0.0010531,125901,2582.88,0.991397
0.00106295,124734,2563.95,0.989849
0.0010728,123589,2545.37,0.988315
0.00108265,122465,2527.12,0.986795
0.0010925,121361,2509.21,0.985289
0.00110235,120277,2491.62,0.983796
0.0011122,119212,2474.33,0.982317
0.00112205,118166,2457.36,0.980851
0.0011319,117138,2440.67,0.979397
0.00114175,116127,2424.28,0.977956
0.0011516,115134,2408.16,0.976528
0.00116145,114158,2392.32,0.975111
0.0011713,113198,2376.74,0.973707
0.00118115,112254,2361.43,0.972314
0.001191,111326,2346.37,0.970933
0.00120085,110413,2331.55,0.969564
0.0012107,109515,2316.98,0.968205
0.00122055,108632,2302.64,0.966858
0.0012304,107762,2288.53,0.965521
0.00124025,106907,2274.65,0.964195
0.0012501,106064,2260.98,0.96288
0.00125995,105236,2247.53,0.961575
0.0012698,104419,2234.29,0.96028
0.00127965,103616,2221.25,0.958995
0.0012895,102825,2208.41,0.957719
0.00129935,102045,2195.76,0.956454
0.0013092,101278,2183.3,0.955198
0.00131905,100522,2171.04,0.953952
0.0013289,99776.8,2160.3,0.952714
0.00133875,99042.9,2152.65,0.951486
0.0013486,98319.7,2144.87,0.950267
0.00135845,97607,2136.94,0.949057
0.0013683,96904.6,2128.89,0.947856
0.00137815,96212.2,2120.73,0.946663
0.001388,95529.7,2112.47,0.945479
0.00139785,94856.7,2104.11,0.944303
0.0014077,94193.2,2095.66,0.943135
0.00141755,93538.9,2087.14,0.941975
0.0014274,92893.6,2078.56,0.940824
0.00143725,92257.2,2069.91,0.93968
0.0014471,91629.5,2061.21,0.938544
0.00145695,91010.2,2052.46,0.937416
0.0014668,90399.3,2043.67,0.936296
0.00147665,89796.5,2034.85,0.935183
0.0014865,89201.7,2026,0.934077
0.00149635,88614.7,2017.13,0.932979
0.0015062,88035.4,2008.25,0.931888
0.00151605,87463.6,1999.35,0.930804
0.0015259,86899.2,1990.44,0.929727
0.00153575,86342.1,1981.53,0.928657
0.0015456,85792.1,1972.63,0.927594
0.00155545,85249,1963.72,0.926538
0.0015653,84712.8,1954.83,0.925488
0.00157515,84183.2,1945.95,0.924445
0.001585,83660.3,1937.08,0.923408
0.00159485,83143.8,1928.24,0.922378
0.0016047,82633.7,1919.41,0.921354
0.00161455,82129.7,1910.61,0.920336
0.0016244,81631.9,1901.84,0.919325
0.00163425,81140.1,1893.1,0.918319
0.0016441,80654.2,1884.38,0.91732
0.00165395,80174.1,1875.7,0.916327
0.0016638,79699.7,1867.06,0.915339
0.00167365,79230.8,1858.45,0.914358
0.0016835,78767.5,1849.89,0.913382
0.00169335,78309.5,1841.36,0.912412
0.0017032,77856.9,1832.88,0.911447
0.00171305,77409.4,1824.44,0.910488
0.0017229,76967,1816.04,0.909535
0.00173275,76529.7,1807.69,0.908587
0.0017426,76097.4,1799.39,0.907644
0.00175245,75669.9,1791.13,0.906707
0.0017623,75247.1,1782.92,0.905775
0.00177215,74829.1,1774.77,0.904848
0.001782,74415.7,1766.66,0.903926
0.00179185,74006.8,1758.6,0.90301
0.0018017,73602.5,1750.6,0.902098
0.00181155,73202.5,1742.65,0.901191
0.0018214,72806.8,1734.75,0.90029
0.00183125,72415.4,1726.9,0.899393
0.0018411,72028.2,1719.11,0.898501
0.00185095,71645.1,1711.37,0.897614
0.0018608,71266.1,1703.69,0.896731
0.00187065,70891,1696.06,0.895853
0.0018805,70519.9,1688.49,0.89498
0.00189035,70152.7,1680.97,0.894111
0.0019002,69789.2,1673.5,0.893247
0.00191005,69429.6,1666.38,0.892387
0.0019199,69073.6,1660.12,0.891532
0.00192975,68721.2,1653.87,0.890681
0.0019396,68372.4,1647.62,0.889834
0.00194945,68027.2,1641.36,0.888992
0.0019593,67685.4,1635.11,0.888153
0.00196915,67347,1628.87,0.88732
0.001979,67012.1,1622.63,0.88649
0.00198885,66680.4,1616.4,0.885664
0.0019987,66352,1610.18,0.884843
0.00200855,66026.8,1603.96,0.884025
0.0020184,65704.8,1597.77,0.883212
0.00202825,65385.9,1591.58,0.882402
0.0020381,65070.1,1585.41,0.881596
0.00204795,64757.4,1579.26,0.880795
0.0020578,64447.6,1573.12,0.879997
0.00206765,64140.8,1567,0.879203
0.0020775,63836.9,1560.9,0.878412
0.00208735,63535.9,1554.82,0.877626
0.0020972,63237.7,1548.75,0.876843
0.00210705,62942.3,1542.72,0.876064
0.0021169,62649.6,1536.7,0.875288
0.00212675,62359.7,1530.7,0.874516
0.0021366,62072.4,1524.73,0.873748
0.00214645,61787.8,1518.79,0.872983
0.0021563,61505.8,1512.87,0.872222
0.00216615,61226.3,1506.97,0.871464
0.002176,60949.4,1501.1,0.870709
0.00218585,60674.9,1495.26,0.869958
0.0021957,60402.9,1489.44,0.869211
0.00220555,60133.4,1483.65,0.868466
0.0022154,59866.2,1477.89,0.867725
0.00222525,59601.5,1472.16,0.866988
0.0022351,59339,1466.45,0.866253
0.00224495,59078.9,1460.78,0.865522
0.0022548,58821,1455.13,0.864794
0.00226465,58565.4,1449.51,0.864069
0.0022745,58312,1443.93,0.863347
0.00228435,58060.7,1438.37,0.862629
0.0022942,57811.7,1432.84,0.861913
0.00230405,57564.7,1427.35,0.861201
0.0023139,57319.9,1421.88,0.860491
0.00232375,57077.2,1416.44,0.859785
0.0023336,56836.4,1411.04,0.859082
0.00234345,56597.8,1405.67,0.858381
0.0023533,56361.1,1400.33,0.857684
0.00236315,56126.4,1395.01,0.856989
0.002373,55893.6,1389.73,0.856298
0.00238285,55662.8,1384.49,0.855609
0.0023927,55433.9,1379.27,0.854923
0.00240255,55206.8,1374.08,0.85424
0.0024124,54981.6,1368.93,0.853559
0.00242225,54758.2,1363.81,0.852882
0.0024321,54536.7,1358.72,0.852207
0.00244195,54316.9,1353.66,0.851535
0.0024518,54098.9,1348.63,0.850865
0.00246165,53882.7,1343.63,0.850199
0.0024715,53668.1,1338.67,0.849534
0.00248135,53455.3,1333.73,0.848873
0.0024912,53244.1,1328.83,0.848214
0.00250105,53034.7,1323.96,0.847558
0.0025109,52826.8,1319.12,0.846904
0.00252075,52620.6,1314.31,0.846253
0.0025306,52416,1309.53,0.845605
0.00254045,52213,1304.78,0.844959
0.0025503,52011.6,1300.06,0.844315
0.00256015,51811.7,1295.38,0.843674
0.00257,51613.3,1290.72,0.843036
0.00257985,51416.4,1286.1,0.8424
0.0025897,51221.1,1281.5,0.841766
0.00259955,51027.2,1276.94,0.841135
0.0026094,50834.8,1272.4,0.840506
0.00261925,50643.9,1267.9,0.839879
0.0026291,50454.3,1263.42,0.839255
0.00263895,50266.2,1258.98,0.838633
0.0026488,50079.5,1254.56,0.838014
0.00265865,49894.2,1250.17,0.837397
0.0026685,49710.2,1245.82,0.836782
0.00267835,49527.6,1241.49,0.836169
0.0026882,49346.4,1237.19,0.835559
0.00269805,49166.4,1232.92,0.83495
0.0027079,48987.8,1228.68,0.834344
0.00271775,48810.5,1224.47,0.833741
0.0027276,48634.4,1220.28,0.833139
0.00273745,48459.6,1216.13,0.83254
0.0027473,48286.1,1212.07,0.831942
0.00275715,48113.8,1208.26,0.831347
0.002767,47942.8,1204.45,0.830754
0.00277685,47772.9,1200.64,0.830163
0.0027867,47604.3,1196.84,0.829574
0.00279655,47436.8,1193.03,0.828988
0.0028064,47270.5,1189.23,0.828403
0.00281625,47105.4,1185.44,0.82782
0.0028261,46941.5,1181.64,0.82724
0.00283595,46778.6,1177.85,0.826661
0.0028458,46616.9,1174.07,0.826085
0.00285565,46456.3,1170.29,0.82551
0.0028655,46296.9,1166.52,0.824938
0.00287535,46138.5,1162.76,0.824367
0.0028852,45981.2,1159,0.823798
0.00289505,45825,1155.25,0.823232
0.0029049,45669.8,1151.51,0.822667
0.00291475,45515.7,1147.77,0.822104
0.0029246,45362.6,1144.05,0.821543
0.00293445,45210.5,1140.33,0.820984
0.0029443,45059.5,1136.62,0.820427
0.00295415,44909.5,1132.92,0.819871
0.002964,44760.4,1129.23,0.819318
0.00297385,44612.4,1125.55,0.818766
0.0029837,44465.3,1121.87,0.818216
0.00299355,44319.2,1118.21,0.817668
0.0030034,44174.1,1114.56,0.817122
0.00301325,44029.9,1110.93,0.816577
0.0030231,43886.7,1107.3,0.816035
0.00303295,43744.4,1103.68,0.815494
0.0030428,43603,1100.07,0.814955
0.00305265,43462.5,1096.48,0.814417
0.0030625,43322.9,1092.9,0.813881
0.00307235,43184.2,1089.33,0.813348
0.0030822,43046.4,1085.77,0.812815
0.00309205,42909.5,1082.22,0.812285
0.0031019,42773.5,1078.69,0.811756
0.00311175,42638.3,1075.17,0.811229
0.0031216,42504,1071.66,0.810703
0.00313145,42370.5,1068.17,0.810179
0.0031413,42237.8,1064.69,0.809657
0.00315115,42106,1061.22,0.809136
0.003161,41975,1057.76,0.808617
0.00317085,41844.9,1054.32,0.8081
0.0031807,41715.5,1050.89,0.807584
0.00319055,41586.9,1047.48,0.80707
0.0032004,41459.1,1044.08,0.806558
0.00321025,41332.1,1040.69,0.806047
0.0032201,41205.9,1037.31,0.805537
0.00322995,41080.5,1033.95,0.805029
0.0032398,40955.8,1030.61,0.804523
0.00324965,40831.9,1027.28,0.804018
0.0032595,40708.7,1023.96,0.803515
0.00326935,40586.3,1020.66,0.803013
0.0032792,40464.6,1017.37,0.802513
0.00328905,40343.6,1014.09,0.802014
0.0032989,40223.3,1010.83,0.801517
0.00330875,40103.8,1007.58,0.801021
0.0033186,39985,1004.35,0.800527
0.00332845,39866.9,1001.13,0.800034
0.0033383,39749.5,997.93,0.799543
0.00334815,39632.7,994.741,0.799053
0.003358,39516.7,991.566,0.798564
0.00336785,39401.3,988.406,0.798077
0.0033777,39286.7,985.261,0.797592
0.00338755,39172.6,982.129,0.797108
0.0033974,39059.3,979.013,0.796625
0.00340725,38946.6,975.91,0.796143
0.0034171,38834.5,972.823,0.795663
0.00342695,38723.1,969.749,0.795185
0.0034368,38612.4,966.69,0.794707
0.00344665,38502.2,963.646,0.794232
0.0034565,38392.7,960.616,0.793757
0.00346635,38283.8,957.601,0.793284
0.0034762,38175.6,954.6,0.792812
0.00348605,38067.9,951.613,0.792342
0.0034959,37960.9,948.641,0.791872
0.00350575,37854.4,945.683,0.791405
0.0035156,37748.6,942.74,0.790938
0.00352545,37643.3,939.811,0.790473
0.0035353,37538.7,936.896,0.790009
0.00354515,37434.6,933.995,0.789546
0.003555,37331.1,931.109,0.789085
0.00356485,37228.1,928.237,0.788625
0.0035747,37125.8,925.379,0.788166
0.00358455,37024,922.536,0.787708
0.0035944,36922.7,919.706,0.787252
0.00360425,36822,916.89,0.786797
0.0036141,36721.9,914.089,0.786343
0.00362395,36622.3,911.301,0.785891
0.0036338,36523.2,908.528,0.785439
0.00364365,36424.7,905.768,0.784989
0.0036535,36326.7,903.022,0.78454
0.00366335,36229.3,900.29,0.784093
0.0036732,36132.3,897.572,0.783646
0.00368305,36035.9,894.868,0.783201
0.0036929,35940,892.177,0.782757
0.00370275,35844.6,889.5,0.782314
0.0037126,35749.7,886.837,0.781872
0.00372245,35655.3,884.187,0.781431
0.0037323,35561.5,881.55,0.780992
0.00374215,35468.1,878.927,0.780554
0.003752,35375.2,876.317,0.780117
0.00376185,35282.8,873.721,0.779681
0.0037717,35190.8,871.138,0.779246
0.00378155,35099.4,868.568,0.778812
0.0037914,35008.4,866.011,0.77838
0.00380125,34917.9,863.468,0.777948
0.0038111,34827.9,860.937,0.777518
0.00382095,34738.3,858.42,0.777089
0.0038308,34649.2,855.915,0.776661
0.00384065,34560.5,853.424,0.776234
0.0038505,34472.4,850.945,0.775808
0.00386035,34384.6,848.479,0.775383
0.0038702,34297.3,846.026,0.774959
0.00388005,34210.5,843.585,0.774537
0.0038899,34124,841.157,0.774115
0.00389975,34038.1,838.741,0.773694
0.0039096,33952.5,836.338,0.773275
0.00391945,33867.4,833.948,0.772857
0.0039293,33782.7,831.569,0.772439
0.00393915,33698.5,829.203,0.772023
0.003949,33614.6,826.85,0.771608
0.00395885,33531.2,824.699,0.771193
0.0039687,33448.2,822.596,0.77078
0.00397855,33365.6,820.492,0.770368
0.0039884,33283.4,818.388,0.769957
0.00399825,33201.6,816.284,0.769547
0.0040081,33120.3,814.18,0.769138
0.00401795,33039.3,812.077,0.768729
0.0040278,32958.7,809.974,0.768322
0.00403765,32878.5,807.871,0.767916
0.0040475,32798.7,805.77,0.767511
0.00405735,32719.3,803.669,0.767107
0.0040672,32640.3,801.57,0.766704
0.00407705,32561.6,799.472,0.766302
0.0040869,32483.4,797.375,0.7659
0.00409675,32405.5,795.28,0.7655
0.0041066,32328,793.186,0.765101
0.00411645,32250.8,791.095,0.764702
0.0041263,32174,789.006,0.764305
0.00413615,32097.6,786.918,0.763909
0.004146,32021.6,784.834,0.763513
0.00415585,31945.9,782.751,0.763118
0.0041657,31870.6,780.671,0.762725
0.00417555,31795.6,778.594,0.762332
0.0041854,31721,776.519,0.76194
0.00419525,31646.7,774.448,0.76155
0.0042051,31572.8,772.379,0.76116
0.00421495,31499.3,770.313,0.760771
0.0042248,31426,768.251,0.760382
0.00423465,31353.2,766.192,0.759995
0.0042445,31280.6,764.137,0.759609
0.00425435,31208.4,762.085,0.759223
0.0042642,31136.5,760.036,0.758839
0.00427405,31065,757.992,0.758455
0.0042839,30993.8,755.951,0.758073
0.00429375,30922.9,753.914,0.757691
0.0043036,30852.3,751.881,0.75731
0.00431345,30782.1,749.852,0.75693
0.0043233,30712.2,747.827,0.75655
0.00433315,30642.6,745.806,0.756172
0.004343,30573.3,743.79,0.755794
