t_center_ns,dt_ns,count
0.154012571,0.3070341132,500
0.4610466841,0.3070341132,573
0.7680807973,0.3070341132,613
1.07511491,0.3070341132,655
1.382149024,0.3070341132,652
1.689183137,0.3070341132,685
1.99621725,0.3070341132,664
2.303251363,0.3070341132,789
2.610285476,0.3070341132,722
2.917319589,0.3070341132,715
3.224353703,0.3070341132,716
3.531387816,0.3070341132,812
3.838421929,0.3070341132,855
4.145456042,0.3070341132,877
4.452490155,0.3070341132,878
4.759524268,0.3070341132,917
5.066558382,0.3070341132,932
5.373592495,0.3070341132,940
5.680626608,0.3070341132,1017
5.987660721,0.3070341132,993
6.294694834,0.3070341132,1046
6.601728947,0.3070341132,1105
6.908763061,0.3070341132,1138
7.215797174,0.3070341132,1179
7.522831287,0.3070341132,1164
7.8298654,0.3070341132,1255
8.136899513,0.3070341132,1214
8.443933626,0.3070341132,1311
8.75096774,0.3070341132,1312
9.058001853,0.3070341132,1310
9.365035966,0.3070341132,1257
9.672070079,0.3070341132,1402
9.979104192,0.3070341132,1407
10.28613831,0.3070341132,1365
10.59317242,0.3070341132,1431
10.90020653,0.3070341132,1413
11.20724064,0.3070341132,1451
11.51427476,0.3070341132,1534
11.82130887,0.3070341132,1528
12.12834298,0.3070341132,1525
12.4353771,0.3070341132,1466
12.74241121,0.3070341132,1582
13.04944532,0.3070341132,1676
13.35647944,0.3070341132,1649
13.66351355,0.3070341132,1640
13.97054766,0.3070341132,1700
14.27758178,0.3070341132,1683
14.58461589,0.3070341132,1743
14.89165,0.3070341132,1864
15.19868412,0.3070341132,1770
15.50571823,0.3070341132,1827
15.81275234,0.3070341132,1760
16.11978646,0.3070341132,1886
16.42682057,0.3070341132,1804
16.73385468,0.3070341132,1830
17.0408888,0.3070341132,1819
17.34792291,0.3070341132,1823
17.65495702,0.3070341132,1917
17.96199113,0.3070341132,1865
18.26902525,0.3070341132,1873
18.57605936,0.3070341132,1917
18.88309347,0.3070341132,1921
19.19012759,0.3070341132,1970
19.4971617,0.3070341132,1922
19.80419581,0.3070341132,1841
20.11122993,0.3070341132,2003
20.41826404,0.3070341132,1988
20.72529815,0.3070341132,2028
21.03233227,0.3070341132,1915
21.33936638,0.3070341132,2011
21.64640049,0.3070341132,2094
21.95343461,0.3070341132,2029
22.26046872,0.3070341132,2036
22.56750283,0.3070341132,1923
22.87453695,0.3070341132,1997
23.18157106,0.3070341132,1987
23.48860517,0.3070341132,1949
23.79563928,0.3070341132,1975
24.1026734,0.3070341132,1904
24.40970751,0.3070341132,2038
24.71674162,0.3070341132,1871
25.02377574,0.3070341132,2018
25.33080985,0.3070341132,1930
25.63784396,0.3070341132,1933
25.94487808,0.3070341132,1876
26.25191219,0.3070341132,1909
26.5589463,0.3070341132,1940
26.86598042,0.3070341132,1876
27.17301453,0.3070341132,1868
27.48004864,0.3070341132,1874
27.78708276,0.3070341132,1794
28.09411687,0.3070341132,1819
28.40115098,0.3070341132,1852
28.7081851,0.3070341132,1858
29.01521921,0.3070341132,1872
29.32225332,0.3070341132,1850
29.62928743,0.3070341132,1837
29.93632155,0.3070341132,1676
30.24335566,0.3070341132,1830
30.55038977,0.3070341132,1783
30.85742389,0.3070341132,1795
31.164458,0.3070341132,1773
31.47149211,0.3070341132,1797
31.77852623,0.3070341132,1787
32.08556034,0.3070341132,1800
32.39259445,0.3070341132,1754
32.69962857,0.3070341132,1801
33.00666268,0.3070341132,1713
33.31369679,0.3070341132,1778
33.62073091,0.3070341132,1730
33.92776502,0.3070341132,1739
34.23479913,0.3070341132,1778
34.54183325,0.3070341132,1751
34.84886736,0.3070341132,1827
35.15590147,0.3070341132,1802
35.46293559,0.3070341132,1727
35.7699697,0.3070341132,1706
36.07700381,0.3070341132,1753
36.38403792,0.3070341132,1700
36.69107204,0.3070341132,1725
36.99810615,0.3070341132,1743
37.30514026,0.3070341132,1734
37.61217438,0.3070341132,1693
37.91920849,0.3070341132,1757
38.2262426,0.3070341132,1692
38.53327672,0.3070341132,1734
38.84031083,0.3070341132,1689
39.14734494,0.3070341132,1736
39.45437906,0.3070341132,1733
39.76141317,0.3070341132,1719
40.06844728,0.3070341132,1671
40.3754814,0.3070341132,1743
40.68251551,0.3070341132,1676
40.98954962,0.3070341132,1794
41.29658374,0.3070341132,1703
41.60361785,0.3070341132,1697
41.91065196,0.3070341132,1733
42.21768607,0.3070341132,1752
42.52472019,0.3070341132,1632
42.8317543,0.3070341132,1757
43.13878841,0.3070341132,1655
43.44582253,0.3070341132,1700
43.75285664,0.3070341132,1741
44.05989075,0.3070341132,1681
44.36692487,0.3070341132,1702
44.67395898,0.3070341132,1641
44.98099309,0.3070341132,1663
45.28802721,0.3070341132,1689
45.59506132,0.3070341132,1754
45.90209543,0.3070341132,1741
46.20912955,0.3070341132,1690
46.51616366,0.3070341132,1766
46.82319777,0.3070341132,1621
47.13023189,0.3070341132,1671
47.437266,0.3070341132,1682
47.74430011,0.3070341132,1692
48.05133422,0.3070341132,1708
48.35836834,0.3070341132,1684
48.66540245,0.3070341132,1663
48.97243656,0.3070341132,1675
49.27947068,0.3070341132,1614
49.58650479,0.3070341132,1654
49.8935389,0.3070341132,1716
50.20057302,0.3070341132,1669
50.50760713,0.3070341132,1671
50.81464124,0.3070341132,1657
51.12167536,0.3070341132,1746
51.42870947,0.3070341132,1675
51.73574358,0.3070341132,1681
52.0427777,0.3070341132,1751
52.34981181,0.3070341132,1628
52.65684592,0.3070341132,1677
52.96388004,0.3070341132,1675
53.27091415,0.3070341132,1669
53.57794826,0.3070341132,1661
53.88498238,0.3070341132,1680
54.19201649,0.3070341132,1670
54.4990506,0.3070341132,1653
54.80608471,0.3070341132,1762
55.11311883,0.3070341132,1721
55.42015294,0.3070341132,1638
55.72718705,0.3070341132,1715
56.03422117,0.3070341132,1673
56.34125528,0.3070341132,1735
56.64828939,0.3070341132,1645
56.95532351,0.3070341132,1725
57.26235762,0.3070341132,1703
57.56939173,0.3070341132,1679
57.87642585,0.3070341132,1674
58.18345996,0.3070341132,1703
58.49049407,0.3070341132,1658
58.79752819,0.3070341132,1653
59.1045623,0.3070341132,1702
59.41159641,0.3070341132,1661
59.71863053,0.3070341132,1650
60.02566464,0.3070341132,1713
60.33269875,0.3070341132,1679
60.63973286,0.3070341132,1775
60.94676698,0.3070341132,1660
61.25380109,0.3070341132,1663
61.5608352,0.3070341132,1725
61.86786932,0.3070341132,1689
62.17490343,0.3070341132,1661
62.48193754,0.3070341132,1703
62.78897166,0.3070341132,1704
63.09600577,0.3070341132,1701
63.40303988,0.3070341132,1706
63.710074,0.3070341132,1726
64.01710811,0.3070341132,1749
64.32414222,0.3070341132,1669
64.63117634,0.3070341132,1634
64.93821045,0.3070341132,1714
65.24524456,0.3070341132,1683
65.55227868,0.3070341132,1723
65.85931279,0.3070341132,1686
66.1663469,0.3070341132,1687
66.47338101,0.3070341132,1719
66.78041513,0.3070341132,1677
67.08744924,0.3070341132,1675
67.39448335,0.3070341132,1684
67.70151747,0.3070341132,1760
68.00855158,0.3070341132,1584
68.31558569,0.3070341132,1682
68.62261981,0.3070341132,1574
68.92965392,0.3070341132,1634
69.23668803,0.3070341132,1664
69.54372215,0.3070341132,1672
69.85075626,0.3070341132,1633
70.15779037,0.3070341132,1617
70.46482449,0.3070341132,1643
70.7718586,0.3070341132,1644
71.07889271,0.3070341132,1680
71.38592683,0.3070341132,1662
71.69296094,0.3070341132,1638
71.99999505,0.3070341132,1616
72.30702917,0.3070341132,1679
72.61406328,0.3070341132,1665
72.92109739,0.3070341132,1681
73.2281315,0.3070341132,1657
73.53516562,0.3070341132,1623
73.84219973,0.3070341132,1639
74.14923384,0.3070341132,1659
74.45626796,0.3070341132,1697
74.76330207,0.3070341132,1683
75.07033618,0.3070341132,1615
75.3773703,0.3070341132,1683
75.68440441,0.3070341132,1627
75.99143852,0.3070341132,1645
76.29847264,0.3070341132,1646
76.60550675,0.3070341132,1643
76.91254086,0.3070341132,1630
77.21957498,0.3070341132,1649
77.52660909,0.3070341132,1634
77.8336432,0.3070341132,1637
78.14067732,0.3070341132,1652
78.44771143,0.3070341132,1674
78.75474554,0.3070341132,1660
79.06177965,0.3070341132,1541
79.36881377,0.3070341132,1522
79.67584788,0.3070341132,1564
79.98288199,0.3070341132,1542
80.28991611,0.3070341132,1624
80.59695022,0.3070341132,1594
80.90398433,0.3070341132,1621
81.21101845,0.3070341132,1543
81.51805256,0.3070341132,1539
81.82508667,0.3070341132,1530
82.13212079,0.3070341132,1523
82.4391549,0.3070341132,1475
82.74618901,0.3070341132,1452
83.05322313,0.3070341132,1513
83.36025724,0.3070341132,1491
83.66729135,0.3070341132,1506
83.97432547,0.3070341132,1367
84.28135958,0.3070341132,1379
84.58839369,0.3070341132,1379
84.8954278,0.3070341132,1366
85.20246192,0.3070341132,1367
85.50949603,0.3070341132,1297
85.81653014,0.3070341132,1399
86.12356426,0.3070341132,1247
86.43059837,0.3070341132,1294
