r_cm,E_Vcm,alpha_invcm,phi_w
0.0006,0,0,1.08508
0.00060985,0,0,1.08237
0.0006197,0,0,1.0797
0.00062955,0,0,1.07707
0.0006394,0,0,1.07449
0.00064925,0,0,1.07194
0.0006591,0,0,1.06943
0.00066895,0,0,1.06696
0.0006788,0,0,1.06453
0.00068865,0,0,1.06213
0.0006985,0,0,1.05976
0.00070835,0,0,1.05743
0.0007182,0,0,1.05513
0.00072805,0,0,1.05286
0.0007379,0,0,1.05062
0.00074775,0,0,1.04841
0.0007576,0,0,1.04623
0.00076745,0,0,1.04408
0.0007773,0,0,1.04196
0.00078715,0,0,1.03986
0.000797,0,0,1.03779
0.00080685,0,0,1.03574
0.0008167,0,0,1.03372
0.00082655,0,0,1.03173
0.0008364,0,0,1.02975
0.00084625,0,0,1.0278
0.0008561,0,0,1.02588
0.00086595,0,0,1.02397
0.0008758,0,0,1.02209
0.00088565,0,0,1.02023
0.0008955,0,0,1.01838
0.00090535,0,0,1.01656
0.0009152,0,0,1.01476
0.00092505,0,0,1.01298
0.0009349,0,0,1.01121
0.00094475,0,0,1.00947
0.0009546,0,0,1.00774
0.00096445,0,0,1.00603
0.0009743,0,0,1.00434
0.00098415,0,0,1.00266
0.000994,0,0,1.001
0.00100385,118728,2466.48,0.999361
0.0010137,117575,2447.76,0.997735
0.00102355,116443,2429.41,0.996124
0.0010334,115334,2411.4,0.994529
0.00104325,114245,2393.73,0.992949
0.0010531,113177,2376.39,0.991384
0.00106295,112128,2359.38,0.989833
0.0010728,111099,2342.67,0.988297
0.00108265,110088,2326.27,0.986775
0.0010925,109096,2310.17,0.985267
0.00110235,108121,2294.36,0.983772
0.0011122,107164,2278.82,0.98229
0.00112205,106223,2263.56,0.980822
0.0011319,105299,2248.56,0.979366
0.00114175,104391,2233.82,0.977923
0.0011516,103498,2219.33,0.976492
0.00116145,102621,2205.09,0.975074
0.0011713,101758,2191.09,0.973667
0.00118115,100909,2177.33,0.972273
0.001191,100075,2163.79,0.970889
0.00120085,99254.3,2154.88,0.969518
0.0012107,98447,2146.25,0.968157
0.00122055,97652.7,2137.46,0.966808
0.0012304,96871.1,2128.5,0.965469
0.00124025,96102,2119.41,0.964141
0.0012501,95344.9,2110.19,0.962824
0.00125995,94599.7,2100.86,0.961516
0.0012698,93866.1,2091.43,0.96022
0.00127965,93143.8,2081.91,0.958933
0.0012895,92432.5,2072.31,0.957656
0.00129935,91732,2062.64,0.956388
0.0013092,91042,2052.91,0.95513
0.00131905,90362.3,2043.14,0.953882
0.0013289,89692.8,2033.32,0.952643
0.00133875,89033,2023.47,0.951413
0.0013486,88382.9,2013.59,0.950192
0.00135845,87742.3,2003.7,0.94898
0.0013683,87110.8,1993.79,0.947777
0.00137815,86488.4,1983.88,0.946582
0.001388,85874.8,1973.97,0.945396
0.00139785,85269.9,1964.07,0.944218
0.0014077,84673.5,1954.17,0.943049
0.00141755,84085.3,1944.3,0.941888
0.0014274,83505.2,1934.44,0.940734
0.00143725,82933.1,1924.6,0.939589
0.0014471,82368.8,1914.8,0.938452
0.00145695,81812.1,1905.02,0.937322
0.0014668,81262.9,1895.29,0.9362
0.00147665,80721.1,1885.59,0.935085
0.0014865,80186.4,1875.93,0.933978
0.00149635,79658.7,1866.31,0.932878
0.0015062,79138,1856.74,0.931785
0.00151605,78624,1847.22,0.930699
0.0015259,78116.7,1837.75,0.929621
0.00153575,77615.8,1828.34,0.928549
0.0015456,77121.4,1818.97,0.927484
0.00155545,76633.2,1809.67,0.926426
0.0015653,76151.2,1800.42,0.925375
0.00157515,75675.2,1791.23,0.92433
0.001585,75205.1,1782.1,0.923292
0.00159485,74740.8,1773.04,0.92226
0.0016047,74282.2,1764.03,0.921235
0.00161455,73829.2,1755.09,0.920216
0.0016244,73381.7,1746.22,0.919203
0.00163425,72939.6,1737.4,0.918196
0.0016441,72502.8,1728.66,0.917195
0.00165395,72071.2,1719.98,0.9162
0.0016638,71644.7,1711.37,0.915211
0.00167365,71223.3,1702.82,0.914228
0.0016835,70806.8,1694.34,0.913251
0.00169335,70395.1,1685.93,0.91228
0.0017032,69988.2,1677.59,0.911314
0.00171305,69585.9,1669.32,0.910353
0.0017229,69188.3,1662.15,0.909398
0.00173275,68795.2,1655.19,0.908449
0.0017426,68406.5,1648.23,0.907505
0.00175245,68022.2,1641.27,0.906566
0.0017623,67642.2,1634.32,0.905633
0.00177215,67266.4,1627.37,0.904704
0.001782,66894.8,1620.43,0.903781
0.00179185,66527.3,1613.5,0.902863
0.0018017,66163.7,1606.59,0.90195
0.00181155,65804.2,1599.68,0.901042
0.0018214,65448.5,1592.8,0.900139
0.00183125,65096.7,1585.93,0.899241
0.0018411,64748.6,1579.08,0.898347
0.00185095,64404.2,1572.25,0.897459
0.0018608,64063.5,1565.45,0.896575
0.00187065,63726.3,1558.67,0.895696
0.0018805,63392.7,1551.91,0.894821
0.00189035,63062.6,1545.18,0.893951
0.0019002,62735.9,1538.48,0.893085
0.00191005,62412.6,1531.8,0.892224
0.0019199,62092.6,1525.15,0.891368
0.00192975,61775.8,1518.54,0.890515
0.0019396,61462.3,1511.95,0.889667
0.00194945,61151.9,1505.4,0.888824
0.0019593,60844.7,1498.87,0.887984
0.00196915,60540.5,1492.39,0.887149
0.001979,60239.4,1485.93,0.886318
0.00198885,59941.3,1479.51,0.885491
0.0019987,59646,1473.12,0.884669
0.00200855,59353.7,1466.77,0.88385
0.0020184,59064.3,1460.46,0.883035
0.00202825,58777.6,1454.18,0.882224
0.0020381,58493.7,1447.94,0.881417
0.00204795,58212.6,1441.73,0.880615
0.0020578,57934.2,1435.56,0.879815
0.00206765,57658.4,1429.43,0.87902
0.0020775,57385.2,1423.34,0.878229
0.00208735,57114.6,1417.28,0.877441
0.0020972,56846.5,1411.27,0.876657
0.00210705,56581,1405.29,0.875876
0.0021169,56317.9,1399.35,0.8751
0.00212675,56057.2,1393.45,0.874327
0.0021366,55799,1387.58,0.873557
0.00214645,55543.1,1381.76,0.872791
0.0021563,55289.6,1375.98,0.872029
0.00216615,55038.4,1370.23,0.87127
0.002176,54789.4,1364.52,0.870514
0.00218585,54542.7,1358.85,0.869762
0.0021957,54298.2,1353.23,0.869013
0.00220555,54055.9,1347.64,0.868268
0.0022154,53815.8,1342.08,0.867525
0.00222525,53577.8,1336.57,0.866787
0.0022351,53341.8,1331.1,0.866051
0.00224495,53108,1325.66,0.865319
0.0022548,52876.2,1320.27,0.86459
0.00226465,52646.4,1314.91,0.863864
0.0022745,52418.6,1309.59,0.863141
0.00228435,52192.8,1304.31,0.862421
0.0022942,51968.9,1299.06,0.861705
0.00230405,51746.9,1293.86,0.860991
0.0023139,51526.8,1288.69,0.860281
0.00232375,51308.6,1283.56,0.859573
0.0023336,51092.2,1278.47,0.858869
0.00234345,50877.6,1273.41,0.858167
0.0023533,50664.9,1268.39,0.857469
0.00236315,50453.9,1263.41,0.856773
0.002373,50244.7,1258.47,0.85608
0.00238285,50037.2,1253.56,0.855391
0.0023927,49831.4,1248.69,0.854704
0.00240255,49627.3,1243.85,0.854019
0.0024124,49424.8,1239.05,0.853338
0.00242225,49224,1234.29,0.852659
0.0024321,49024.9,1229.56,0.851984
0.00244195,48827.3,1224.87,0.85131
0.0024518,48631.3,1220.21,0.85064
0.00246165,48436.9,1215.59,0.849972
0.0024715,48244.1,1211.15,0.849307
0.00248135,48052.8,1206.9,0.848645
0.0024912,47863,1202.67,0.847985
0.00250105,47674.7,1198.43,0.847328
0.0025109,47487.8,1194.19,0.846673
0.00252075,47302.5,1189.96,0.846021
0.0025306,47118.5,1185.74,0.845372
0.00254045,46936,1181.52,0.844725
0.0025503,46754.9,1177.3,0.84408
0.00256015,46575.3,1173.09,0.843438
0.00257,46396.9,1168.89,0.842799
0.00257985,46220,1164.7,0.842162
